title,authors,pdf_link,release_date,document_name
How to View Your NFT in Your Wallet (Part 3/3 of NFT Tutorial Series),Ethereum.org,https://ethereum.org/en/developers/tutorials/how-to-view-nft-in-metamask/,,developers-tutorials-how-to-view-nft-in-metamask-index.pdf
JavaScript API libraries,Ethereum.org,https://ethereum.org/en/developers/docs/apis/javascript/,,developers-docs-apis-javascript-index.pdf
How to implement an ERC-721 market,Ethereum.org,https://ethereum.org/en/contributing/translation-program/content-buckets/#tutorials-4,2023-11-02,developers-tutorials-how-to-implement-an-erc721-market-index.pdf
Recursive-length prefix (RLP) serialization,Ethereum.org,https://ethereum.org/en/developers/docs/data-structures-and-encoding/rlp/,,developers-docs-data-structures-and-encoding-rlp-index.pdf
Account abstraction,Ethereum.org,https://ethereum.org/en/roadmap/account-abstraction/#account-abstraction,2023-08-27,roadmap-account-abstraction-index.pdf
Smart contracts,Ethereum.org,https://ethereum.org/en/smart-contracts/#introduction-to-smart-contracts,2023-08-10,smart-contracts-index.pdf
Understand the ERC-20 token smart contract,Ethereum.org,https://ethereum.org/en/developers/docs/smart-contracts/compiling/#web-applications,,developers-tutorials-understand-the-erc-20-token-smart-contract-index.pdf
Kickstart your dapp frontend development with create-eth-app,Ethereum.org,https://ethereum.org/en/developers/docs/smart-contracts/composability/#related-tutorials,,developers-tutorials-kickstart-your-dapp-frontend-development-with-create-eth-app-index.pdf
Client diversity,Ethereum.org,https://ethereum.org/en/developers/docs/nodes-and-clients/client-diversity/,,developers-docs-nodes-and-clients-client-diversity-index.pdf
Simple serialize,Ethereum.org,https://ethereum.org/en/developers/docs/data-structures-and-encoding/ssz/,,developers-docs-data-structures-and-encoding-ssz-index.pdf
How to swap tokens,Ethereum.org,https://ethereum.org/en/guides/how-to-swap-tokens/#how-to-swap-tokens,2023-11-30,guides-how-to-swap-tokens-index.pdf
A guide to smart contract security tools,Ethereum.org,https://ethereum.org/en/contributing/translation-program/content-buckets/#tutorials-3,2023-11-02,developers-tutorials-guide-to-smart-contract-security-tools-index.pdf
Token integration checklist,Ethereum.org,https://ethereum.org/en/developers/docs/standards/tokens/#related-tutorials,,developers-tutorials-token-integration-checklist-index.pdf
Block proposal,Ethereum.org,https://ethereum.org/en/developers/docs/consensus-mechanisms/pos/block-proposal/,,developers-docs-consensus-mechanisms-pos-block-proposal-index.pdf
Decentralized social networks,Ethereum.org,https://ethereum.org/en/social-networks/,,social-networks-index.pdf
Verkle trees,Ethereum.org,https://ethereum.org/en/roadmap/verkle-trees/#verkle-trees,2023-05-24,roadmap-verkle-trees-index.pdf
Ethereum for Ruby Developers,Ethereum.org,https://ethereum.org/en/developers/docs/programming-languages/ruby/,,developers-docs-programming-languages-ruby-index.pdf
Ethereum for Go developers,Ethereum.org,https://ethereum.org/en/developers/docs/programming-languages/golang/,,developers-docs-programming-languages-golang-index.pdf
Enterprise on Ethereum Mainnet,Ethereum.org,https://ethereum.org/en/enterprise/#ethereum-for-enterprise,2023-03-16,enterprise-index.pdf
Regenerative Finance (ReFi),Ethereum.org,https://ethereum.org/en/refi/,,refi-index.pdf
Ethereum security and scam prevention,Ethereum.org,https://ethereum.org/en/security/#introduction,2023-08-29,security-index.pdf
Ethereum Governance,Ethereum.org,https://ethereum.org/en/governance/#introduction,2023-07-30,governance-index.pdf
Ethereum for Java developers,Ethereum.org,https://ethereum.org/en/developers/docs/programming-languages/java/,,developers-docs-programming-languages-java-index.pdf
Design and UX in web3,Ethereum.org,https://ethereum.org/en/developers/docs/design-and-ux/,,developers-docs-design-and-ux-index.pdf
Validium,Ethereum.org,https://ethereum.org/en/developers/docs/scaling/validium/,,developers-docs-scaling-validium-index.pdf
Scaling Ethereum,Ethereum.org,https://ethereum.org/en/roadmap/scaling/,,roadmap-scaling-index.pdf
Ethereum for .NET developers,Ethereum.org,https://ethereum.org/en/developers/docs/programming-languages/dot-net/,,developers-docs-programming-languages-dot-net-index.pdf
Ethereum Archive Node,Ethereum.org,https://ethereum.org/en/developers/docs/nodes-and-clients/archive-nodes/,,developers-docs-nodes-and-clients-archive-nodes-index.pdf
